monument_id,monument_name,parkprop,parkname,Location,geometry
35,Netherland Monument,Y,Battery Park,Northeast entrance near intersection of State Street and Battery Place,POINT (-74.0175414 40.7068949)
36,"loomis, alfred lebbens",N,unknown,BELLEVUE HOSPITAL; foot of e. 26th st.,POINT (-73.9762044 40.7396865)
37,Large Coqui,Y,unknown,Houston Street and Essex Street; northwest corner of playground.,POINT (-73.9862703 40.7222905)
38,Sugar House Prison Window,N,unknown,MALL BETWN POLICE HQ&MUN BLDG; centre st.,POINT EMPTY
39,Norwegian Veterans Monument,Y,Battery Park,Northwest of Castle Clinton,POINT (-74.0168023 40.7034401)
40,Battery Park Cannon,Y,Battery Park,Perimeter of park on State Street between Bridge and Pearl Streets,POINT (-74.0158441 40.7115786)
41,"southerland, benjamin delamater",N,unknown,P.S. #3; hudson and grove Streets,POINT EMPTY
42,Peter Caesar Alberti Marker,Y,Battery Park,Perimeter of park on Battery Place between Greenwich and Washington Streets,POINT (0.0098214 51.4933675)
43,Recorder,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, beside center window in attic",POINT (-74.00436549999999 40.7134361)
44,Isham Park Benches,Y,unknown,Broadway and 212th Street,POINT (-73.91850869999999 40.8685204)
45,History,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, beside center window in attic",POINT (-74.00436549999999 40.7134361)
46,John Burroughs,N,unknown,P.S. 188; Lewis and Houston Streets,POINT (-95.37011079999999 29.7600771)
47,New York In Revolutionary Times,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street entrance",POINT (-74.00436549999999 40.7134361)
48,Jackie Robinson,Y,Jackie Robinson Park,West 147th St. and Bradhurst Avenue,POINT (-73.94196409999999 40.8245561)
49,Harold E. Butternick,N,unknown,"COMMERCE HIGH SCHOOL; 65th Street, between 8 and 7th Avenues",POINT (-74.0009616 40.7368306)
50,Dante Alighieri,Y,Dante Park,Broadway & 63rd Street,POINT (-73.9820465 40.7713596)
51,Lilian Wald,Y,Lillian D. Wald Playground,"Cherry, Monroe and Gouverner Streets",POINT (-73.984267 40.7119655)
52,public school #6,N,unknown,MADISON AVE AND 85TH ST,POINT (-73.9593141 40.7801735)
53,David Pietersen De Vries,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, first from left",POINT (-74.00436549999999 40.7134361)
54,public school #66,N,unknown,"AMSTERDAM AVE,; 108th and 109th Streets",POINT EMPTY
55,Industry,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Elk Street elevation, beside center window in attic",POINT (-74.00436549999999 40.7134361)
56,washington bridge,N,unknown,GEORGE WASHINGTON BRIDGE; w. 181st st. off amsterdam,POINT (4.9041389 52.3675734)
57,Civic Fame,N,unknown,MUNICIPAL BUILDING/TOWER; Chambers and Center Streets,POINT (-74.0036107 40.7131386)
58,Wall Street Fountain,Y,unknown,130 Liberty Street,POINT (-74.01320129999999 40.7101178)
59,Cupids with Tablets,N,unknown,MUNICIPAL BUILDING; Chambers and Center Streets,POINT (-74.0036107 40.7131386)
60,Industry,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, third from left",POINT (-74.00436549999999 40.7134361)
61,James J. Shepard,N,unknown,HIGH SCHOOL OF COMMERCE; 65th and 66th st. w. of broadway,POINT (-72.5784286 42.1066313)
62,Medicine,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, second from left",POINT (-74.00436549999999 40.7134361)
63,Eagles,N,unknown,MUNICIPAL BUILDING; Center and Chambers Streets,POINT (-74.0036107 40.7131386)
64,Philip H. Sheridan,O,Riverside Park,"GRANTS TOMB, Riverside Drive at 122nd St.",POINT (-73.9630671 40.8134045)
65,Jackie Robinson Recreation Center Reliefs,Y,unknown,"""Girls with Turtles"" and ""Girls with Frogs"" located in the main entrance above the womens and mens archways, respectively; ""Sailboat"" and ""Surfboard"" on south and north walls of the main lobby, respectively.",POINT (-91.1836618 30.4514328)
66,Tree of Hope,Y,unknown,Center median on Adam Clayton Powell Blvd. at West 131 Street,POINT (-73.94548 40.8127217)
67,Armenian Grove Plaque,Y,Union Square Park,Northeast corner,POINT (-73.9910835 40.7358633)
68,Tree of Hope III,Y,unknown,Adam Clayton Powell Blvd. at 131st Street,POINT (-73.94548 40.8127217)
69,Justice,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, chief cornice, first from left",POINT (-74.00436549999999 40.7134361)
70,Public School #68,N,unknown,128TH ST. BTWN LENOX AVE AND; 7th Avenue,POINT (-73.9442167 40.8096347)
71,The Garment Worker,N,unknown,West 40 Street and Seventh Avenue,POINT (-73.987892 40.75475)
72,Tomorrow's Wind,Y,Thomas Jefferson Park,behind Recreation Center and pool,POINT (-73.9352341 40.7933578)
73,Hamilton W. Robinson,N,unknown,COUNTY COURTHOUSE - RM. 317; prince and centre Streets,POINT EMPTY
74,Peace Fountain,N,unknown,ST. JOHN'S CATHEDRAL; W. 110th St. and Amsterdam Avenue,POINT (-73.9618754 40.8038356)
75,spring,N,unknown,APPELATE COURT - MAD AVE. FAC.; madison ave at 25th st,POINT (-90.13664159999999 38.7074271)
76,Allen Street Mall (Scholar's Rock Garden),Y,unknown,Allen Street between Broome Street and Delancey Street,POINT (-73.9994536 40.7216126)
77,John T. Brush Stairway,Y,Highbridge Park,Edgecombe Avenue and 158th Street,POINT (-73.9396769 40.8326904)
78,Badame Sessa Memorial,Y,unknown,Northeast corner of the park,POINT EMPTY
79,James Madison Tree Marker,Y,Madison Square Park,Between 24th and 25th Street on Madison Ave,POINT (-73.9870435 40.7421612)
80,Hansborough Natatorium,Y,Hansborough Gymnasium and Public Bath,35 West 134th Street,POINT (-73.9394468 40.8128937)
81,Shadows and Flags,N,unknown,"Louise Nevelson Plaza, William Street and Liberty Street",POINT (-74.0079322 40.7076284)
82,licenses,N,unknown,MUNICIPAL BUILDING; chambers and centre Streets,POINT EMPTY
83,police headquarters (old),N,unknown,CENTRE AND LAFAYETTE STS,POINT EMPTY
84,old sugar house,N,unknown,unknown,POINT EMPTY
85,"hobart, john sloss",N,unknown,"COUNTY COURT HOUSE, ROOM 316; centre and prince sts",POINT EMPTY
86,Peter Pan,Y,Carl Schurz Park,unknown,POINT (-73.9436973 40.7751302)
87,Togo,Y,unknown,Seward Park Library Plaza,POINT (-73.9884896 40.7144701)
88,De Witt Clinton,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, third from left",POINT (-74.00436549999999 40.7134361)
89,Police Headquarters,N,unknown,CENTRE AND LAFAYETTE STS,POINT EMPTY
90,Morris-Jumel Mansion,Y,Roger Morris Park,"Edgecomb Ave at 160th Street, left gatepost",POINT (-73.9383369 40.8346461)
91,justice,N,unknown,APPELLATE COURT; madison ave at 25th st,POINT (-90.13664159999999 38.7074271)
92,Charles O'Conor,N,unknown,"Appellate Court Building, Main Hall; Madison Avenue at 25th St.",POINT (-90.13664159999999 38.7074271)
93,Jenny Lind,N,unknown,Museum of the City of New York,POINT (-73.95190889999999 40.7924939)
94,Damrosch Park,Y,Damrosch Park,West 62nd Street entrance to Lincoln Center,POINT (-73.9834889 40.7724641)
95,John Finley Walk,Y,Carl Schurz Park,Silhouette A (North) on elevated walk near East 86th Street and Silhouette B (South) at East 81st Street Pedestrian Bridge; Elevated walk over East River Drive,POINT (-73.952194 40.7780586)
96,Fort Prince Charles,N,unknown,unknown,POINT EMPTY
97,johabbes verveeken ferry,N,unknown,unknown,POINT EMPTY
98,Iron Age,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, chief cornice, sixth from left",POINT (-74.00436549999999 40.7134361)
99,John Wolfe Ambrose,Y,Battery Park,South side of State Street between Pearl and Water Streets.,POINT (-74.0158441 40.7115786)
100,Dyckman House Tablet,Y,Dyckman House Museum,Broadway and West 204th Street; mounted on stone wall off of Broadway,POINT (-73.9231162 40.86702289999999)
101,Blackwell Homestead,O,unknown,Roosevelt Island,POINT (-73.9509934 40.76050310000001)
102,Dr. Sun Yat-sen Monument,Y,unknown,Bayard Street between Baxter Street and Mulberry Street,POINT EMPTY
103,Maternity,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, beside center window in attic",POINT (-74.00436549999999 40.7134361)
104,Fort George Memorial Tablet,Y,Battery Park,Perimeter of park on State Street between Bridge and Pearl Streets,POINT (-74.0158441 40.7115786)
105,Tradition,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, chief cornice, fifth from left",POINT (-74.00436549999999 40.7134361)
106,"washington, george city hall",N,unknown,"CITY HALL  (SEE MEMO); interior, left wall",POINT EMPTY
107,justice: see city hall,N,unknown,unknown,POINT EMPTY
108,Jerusalem Grove,Y,Battery Park,Northwest of Castle Clinton,POINT (-74.0168023 40.7034401)
109,"Bill ""Bojangles"" Robinson Mural",Y,"Bill ""Bojangles"" Robinson Playground","West 150th Street, west side of 7 Avenue",POINT (-73.9374102 40.8251959)
110,Salvation Army Monument,Y,Battery Park,"Perimeter of park on Battery Place, west of Greenwich Street",POINT (-74.0078147 40.7317921)
111,Walloon Settlers Memorial,Y,Battery Park,Perimeter of park on Battery Place,POINT (-74.0158441 40.7115786)
112,Wireless Operators Memorial,Y,Battery Park,Perimeter of park on State Street,POINT (-74.0158441 40.7115786)
113,Winter,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, beside center window in attic",POINT (-74.00436549999999 40.7134361)
114,peace,N,unknown,APPELLATE COURT BUILDING; madison ave at 25th st,POINT (-90.13664159999999 38.7074271)
115,Gracie Mansion Landmark Tablet,Y,Carl Schurz Park,East 89th Street and East End Avenue,POINT (-73.9434038 40.7769136)
116,General Jose de San Martin,Y,Central Park,Central Park South and Avenue of the Americas,POINT (-73.97623709999999 40.76574189999999)
117,police headquarters (old),N,unknown,CENTRE AND LAFAYETTE ST,POINT EMPTY
118,Samuel Sullivan Cox,Y,Tompkins Square Park,Avenue A at 8th Street,POINT (-73.983542 40.7260566)
119,Rocky Mountain Goats,O,Central Park,"Central Park Zoo; Central Park Wildlife Center, west side of south façade",POINT (-73.9719906 40.7677061)
120,Temperance Fountain,Y,Tompkins Square Park,"Near Avenue A, south of 9th Street transverse",POINT (-73.9817841 40.72642949999999)
121,Polly Gordon Walk,Y,unknown,near park entrance at East 84th Street,POINT (-73.9543814 40.7772723)
122,Joseph Pulitzer,Y,City Hall Park,Northeast corner,POINT (-74.0065164 40.7124142)
123,"washington, george city hall bust",N,unknown,CITY HALL; 2nd floor,POINT EMPTY
124,East 54th Street Recreation Center Plaque,Y,unknown,Mounted on wall in main lobby of rec center,POINT EMPTY
125,John F. Kennedy Memorial Bust (original),Y,unknown,"The Arsenal, Office of General Counsel, 3rd Floor",POINT EMPTY
126,George Washington,Y,Union Square Park,South end,POINT (-80.85877719999999 35.2125577)
127,Philosophy,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, beside center window in attic",POINT (-74.00436549999999 40.7134361)
128,"hale, nathan",N,unknown,"UN INT'L SCHOOL, SE CORNER; first ave at 51st st",POINT EMPTY
129,Castello Plan,Y,Peter Minuit Park,"State Street, between the Staten Island Ferry and Whitehall Street",POINT (-74.1502007 40.5795317)
130,zoroaster,N,unknown,APPELLATE COURT- 25TH ST FAC; madison ave at 25th st,POINT (-90.13664159999999 38.7074271)
131,Moses,N,unknown,APPELLATE COURT BUILDING; Madison Avenue and 25th St.,POINT (-90.13664159999999 38.7074271)
132,Catfish Waterjets,N,unknown,"West End Towers Park, West End Avenue between 63rd and 64th Streets",POINT EMPTY
133,Lilac Walk,Y,Central Park,Northeast end of Sheep Meadow,POINT (-73.9748418 40.7717813)
134,Eagles and Prey,Y,Central Park,unknown,POINT (-73.9655834 40.7825547)
135,Edwin Franko Goldman,Y,Central Park,Right wall of Naumberg Bandshell,POINT (-73.9655834 40.7825547)
136,Gus Campise,O,Central Park,Tennis Building at 93rd Street,POINT (-73.9655834 40.7825547)
137,Central Park Tablet,Y,Central Park,"Exterior of Arsenal Building, ground floor",POINT (-73.9655834 40.7825547)
138,Urns - central park (4),Y,Central Park,Mall,POINT (-73.9655834 40.7825547)
139,The Rowers,Y,Central Park,Terrace in front of Loeb Boathouse; East Drive at 75th St.,POINT (-73.9655834 40.7825547)
140,richmond hill mansion,N,unknown,"BUILDING, 7TH AVE.; charlton and varick Streets",POINT (-74.0061669 40.723799)
141,Rhesus and Ring-Tailed Lemurs,O,Central Park,"Central Park Zoo; School, south façade above entrance",POINT (-73.9719906 40.7677061)
142,louis ix,N,unknown,APPELLATE COURT BLDG; madison ave at 25th st.,POINT (-90.13664159999999 38.7074271)
143,"Vanderbilt, Mr. & Mrs. Tablet",Y,Central Park,Conservatory Garden Gate; 105th Street and 5th Avenue,POINT (-73.9656176 40.7744147)
144,Augustus Heckscher Gate Posts,Y,Central Park,Heckscher Playground entrance,POINT (-73.9772285 40.7684641)
145,Daniel Webster,Y,Central Park,West Drive at East 72nd Street,POINT (-73.9594272 40.7692572)
146,washington irving high school,N,unknown,IRVING PLACE; between 16th and 17th st,POINT EMPTY
147,One Hundred Seventh Infantry Memorial,Y,Central Park,Fifth Avenue at 67th Street,POINT (-73.96936310000001 40.7692766)
148,Greensward Plan,Y,unknown,(Not Available to Public; Removed from Arsenal for Conservation); (Not Available to Public; Removed from Arsenal for Conservation),POINT EMPTY
149,Zoo,Y,Central Park,Entrance to Arsenal; 5th Avenue at 64th Street,POINT (-73.9712496 40.7677306)
150,"Beisa, Eland Gnu",O,unknown,"Central Park Zoo; East Wall, Antelope House",POINT EMPTY
151,Mount Saint Vincent Plaque,Y,Central Park,northwest of Conservatory Garden,POINT (-73.9655834 40.7825547)
152,Albert Bertel Thorvaldsen,Y,Central Park,5th Avenue at 96th Street,POINT (-73.9656176 40.7744147)
153,public service commission,N,unknown,MUNICPAL BUILDING; chambers and centre Streets,POINT (-75.7711269 42.3297816)
154,Building Inspection,N,unknown,MUNICIPAL BUILDING; Chambers Street and Center Street,POINT (-74.0036107 40.7131386)
155,Queen Elizabeth II,N,unknown,WATER ST. AND PINE ST.,POINT (-74.0067436 40.7057669)
156,unknown hero plaque,N,unknown,U.S. CUSTOMS HOUSE; bowling green,POINT (-74.01374720000001 40.7040667)
157,McGown's Pass Cannons,Y,Central Park,unknown,POINT (-73.9655834 40.7825547)
158,Pinetum,Y,Central Park,Back of 86th Street shop,POINT (-73.9655834 40.7825547)
159,u.s. custom house - monument list,N,unknown,unknown,POINT EMPTY
160,guidance,N,unknown,CHAMBERS & CENTRE STS; municipal bldg  chambers st. arch,POINT EMPTY
161,Knights of Pythias Memorial,Y,Central Park,Memorial Grove,POINT (-92.11187509999999 37.7403991)
162,Alexander Hamilton,N,unknown,MUSEUM OF CITY OF NEW YORK; 103rd and 5th ave,POINT (-73.95190889999999 40.7924939)
163,Washington High School,N,unknown,AUDOBON AVE. AT 192ND ST.,POINT (-73.9273259 40.8555997)
164,African Antelopes,O,Central Park,Central Park Zoo; Central Park Wildlife Center; center of east façade,POINT (-73.9719906 40.7677061)
165,American Antelopes,O,Central Park,"Central Park Zoo; School, center of east façade",POINT (-73.9719906 40.7677061)
166,Pilgrim,Y,Central Park,East 72nd St. entrance,POINT (-73.9655834 40.7825547)
167,Eagles,Y,Central Park,"Central Park Wildlife Center, Fifth Avenue at 64th Street",POINT (-73.9655834 40.7825547)
168,Burnett Memorial Fountain,Y,Central Park,Southern end of Conservatory Garden,POINT (-73.9655834 40.7825547)
169,Justice,N,unknown,"New York County Court House, Centre Street and Hamill Place",POINT (-74.0012708 40.7163033)
170,Peace Clock,Y,unknown,1st Avenue between 41st and 42nd Streets,POINT EMPTY
171,Wien Walk Plaques,Y,Central Park,either side of Scholars Gate,POINT (-73.9655834 40.7825547)
172,The Arts,O,Bryant Park,New York Public Library; 42nd St. and 5th Avenue; South Pediment,POINT (-73.9822534 40.75318230000001)
173,S. Rankin Drew Marker,Y,Central Park,North end of mall,POINT (-73.9655834 40.7825547)
174,"truax, charles henry",N,unknown,SUPREME COURT HOUSE; room 201,POINT EMPTY
175,Anna Atkins Heckscher,Y,Central Park,Heckscher Playground; Recreation Building west side architrave,POINT (-73.9772285 40.7684641)
176,justice,N,unknown,CITY HALL,POINT EMPTY
177,William Church Osborn Gates,Y,Central Park,Fifth Avenue and East 84th-85th Streets,POINT (-73.9613768 40.7802148)
178,The Falconer,Y,Central Park,West 72nd Street (transverse road),POINT (-73.9594272 40.7692572)
179,Duke Ellington Memorial,Y,Central Park,"Duke Ellington Circle, 110th Street and 5th Avenue",POINT (-73.94969309999999 40.7970781)
180,Robert Skirving Pirie,Y,Central Park,"100 feet south of Kerbs Boathouse, Conservatory Lake area",POINT (-73.9655834 40.7825547)
181,369th Infantry Regiment Memorial,Y,unknown,Fifth Avenue and West 142nd Street,POINT (-73.9344693 40.8171726)
182,College of the City of New York,O,unknown,MAIN BUILDING; Convent Avenue and W. 137th Street,POINT (-73.9487727 40.8211747)
183,Delacorte Clock,Y,Central Park,Main walkway between Zoo and Children's Zoo,POINT (-73.9655834 40.7825547)
184,"graham, david",N,unknown,"COUNTY COURT HOUSE, ROOM 216; chambers and centre st.",POINT EMPTY
185,Christopher Columbus,Y,Central Park,South end of Mall,POINT (-73.9655834 40.7825547)
186,Bird Flying Machine,Y,Central Park,"Arsenal South Roof, southwest corner facing southwest turret",POINT (-73.9655834 40.7825547)
187,Titanic Memorial Lighthouse,N,unknown,S. ST SEAPORT MUSEUM (SEE MEMO; orig. atop seamen's church inst.,POINT EMPTY
188,Waldo Hutchins,Y,Central Park,5th Avenue at 72nd Street,POINT (-73.96704360000001 40.77246150000001)
189,Frederick H.A. Von Humboldt,O,Theodore Roosevelt Park,Natural History Museum; Rotunda,POINT (-73.9742272 40.7824902)
190,Comptroller,N,unknown,MUNICIPAL BDLG.; Chambers and Center Streets,POINT EMPTY
191,Samuel Finley Breese Morse,Y,Central Park,E. 72nd St. and 5th Avenue entrance (formerly in the Mall),POINT (-73.96704360000001 40.77246150000001)
192,Women's Rights Pioneers Monument,Y,unknown,Central Park Mall (at about 68th Street),POINT EMPTY
193,Seventy Second Street Playground,Y,Central Park,72nd Street and 5th Avenue,POINT (-73.96704360000001 40.77246150000001)
194,Still Hunt,Y,Central Park,"East Drive at 76th Street,  overlooking road",POINT (-73.9655834 40.7825547)
195,Simon Bolivar Monument,Y,Central Park,Central Park South and Avenue of the Americas,POINT (-73.97623709999999 40.76574189999999)
196,"Webb, Alexander Stewart",N,unknown,CITY COLLEGE; Convent Ave. at 138th to 140th Streets,POINT (-73.9492724 40.8200471)
197,Elections,N,unknown,MUNICIPAL BUILDING; Chambers Street and Center Street,POINT (-74.0036107 40.7131386)
198,Drinking Fountain,Y,Central Park,"West Drive, 92nd Street, near tennis house",POINT (-73.9655834 40.7825547)
199,Doris C. Freedman Plaza Plaque,Y,Central Park,Scholars Gate,POINT (-73.9655834 40.7825547)
200,William T. Stead Memorial,Y,Central Park,"Fifth Avenue at 91st Street, against park wall",POINT (-73.95809670000001 40.7847257)
201,Naturalists Gate,Y,Central Park,Central Park West at West 77th St.,POINT (-73.9736052 40.7794981)
202,Giuseppe Mazzini,Y,Central Park,West Drive opposite 62nd St.,POINT (-73.9655834 40.7825547)
203,public school #114,N,unknown,"OAK, OLIVER AND JAMES ST.",POINT EMPTY
204,"Wood, James Rushmore",N,unknown,BELLEVUE HOSPITAL; foot of e. 26th st.,POINT (-73.9762044 40.7396865)
205,summer,N,unknown,APPELLATE COURT-MAD. AVE. FAC.; madison ave at 25th st.,POINT (-90.13664159999999 38.7074271)
206,Tigress and Cubs,Y,Central Park,Central Park Zoo;  intelligence garden (see memo),POINT (-73.9655834 40.7825547)
207,Literary Walk Restoration Marker,Y,Central Park,South end of Mall,POINT (-73.9655834 40.7825547)
208,Fred Lebow,Y,unknown,East Drive near 90th Street (east of reservoir),POINT EMPTY
209,Frederick Douglass Memorial,Y,unknown,Central Park North and Frederick Douglass Boulevard,POINT (-73.9578638 40.8005207)
210,"jefferson, thomas",N,unknown,CCNY - HALL OF PATRIOTS; convent ave at 139th st,POINT (-73.9492724 40.8200471)
211,Johann Christoph Friedrich Von Schiller,Y,Central Park,North end of mall,POINT (-73.9655834 40.7825547)
212,Bolivar Plaza Plaque,Y,Central Park,Bolivar Plaza wall; Central Park South and 6th Avenue,POINT (-73.97587589999999 40.7657215)
213,Macaque and Orang-outang,O,Central Park,"Central Park Zoo; School, south end of west façade",POINT (-73.9719906 40.7677061)
214,Cormorants,O,Central Park,"Central Park Zoo; Gallery, south end of west façade",POINT (-73.9655834 40.7825547)
215,Michael Friedsam Memorial,Y,Central Park,Carousel Building,POINT (-73.9655834 40.7825547)
216,Lions,O,Central Park,"Central ParkZoo; Willard T.C. Johnson Penguin Building, northeast façade",POINT (-73.9719906 40.7677061)
217,Charles B. Stover,Y,Central Park,"Shakespeare Garden; top of ""rock of ages""",POINT (-73.9655834 40.7825547)
218,Group of Bears,Y,Central Park,"Pat Hoffman Friedman Playground, 5th Avenue and 79th Street",POINT (-73.9639789 40.7776573)
219,Rudolph B. Taylor Plaque,Y,Central Park,"Conservatory Garden, 105th St and 5th Avenue",POINT (-73.9524588 40.7936928)
220,Rocky Mountain Sheep,O,Central Park,"Central Park Zoo; Gallery, center of east façade",POINT (-73.9655834 40.7825547)
221,Sergeant Joyce Kilmer,Y,Central Park,West mall near 67th Street,POINT (-73.9655834 40.7825547)
222,"Chidwick, Rt. Rev. Msgr. John P.",Y,unknown,"Maine Monument, Columbus Circle, 59th Street and 8th Avenue",POINT (-73.98101079999999 40.7682489)
223,Dancing Goat,Y,Central Park,Central Park Wildlife Center; niche at east end of southern exterior wall,POINT (-73.9655834 40.7825547)
224,Tigers,O,Central Park,"Central Park Zoo; Central Park Wildlife Center, center of west façade",POINT (-73.9719906 40.7677061)
225,Chimpanzee,O,Central Park,"Central Park Zoo; Zoo School, north end of east façade",POINT (-73.9719906 40.7677061)
226,Honey Bear,Y,Central Park,Central Park Zoo; in exterior wall niche at northeast corner of zoo near Delcorte Clock,POINT (-73.9719906 40.7677061)
227,County Court House,N,unknown,"COUNTY COURT HOUSE; Foley Square, Centre Street between Pearl and Worth Streets",POINT (-74.0029927 40.7143512)
228,Ponies,O,Central Park,"Central Park Zoo; Central Park Wildlife Center, west side of south façade",POINT (-73.9719906 40.7677061)
229,Printing,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, chief cornice, third from left",POINT (-74.00436549999999 40.7134361)
230,progress,N,unknown,"MUNICIPAL BLDG, CHAMB. ARCH; chambers and centre st.",POINT EMPTY
231,Alexander Hamilton,Y,Central Park,"East Drive, opposite 83rd Street",POINT (-73.9655834 40.7825547)
232,Navigation,N,unknown,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, fifth from left",POINT (-74.00436549999999 40.7134361)
233,lycurgus,N,unknown,APPELLATE COURT BUILDING; madison ave at 25th st,POINT (-90.13664159999999 38.7074271)
234,Gorilla,O,Central Park,"Central Park Zoo; School, south end of east façade",POINT (-73.9719906 40.7677061)
235,Victor Herbert,Y,Central Park,"Mall, across from Bandshell",POINT (-73.9655834 40.7825547)
236,Sir Walter Scott,Y,Central Park,Mall,POINT (-73.9655834 40.7825547)
237,Bethesda Fountain,Y,Central Park,Bethesda Terrace,POINT (-73.97096570000001 40.7739528)
